Title,Release Year,Score,Director(s),Critics Consensus,Casting
Running Scared,1986,63,Peter Hyams,"Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining.","Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer"
Equilibrium,2002,39,Kurt Wimmer,Equilibrium is a reheated mishmash of other sci-fi movies.,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen"
Hero,2002,94,Yimou Zhang,"With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for.","Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Donnie Yen"
Road House,1989,44,Rowdy Herrington,Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara"
Unstoppable,2010,87,Tony Scott,"As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years.","Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn"
Shaft,1971,88,Gordon Parks,"This is the man that would risk his neck for his brother, man. Can you dig it?","Richard Roundtree, Moses Gunn, Christopher St. John, Charles Cioffi"
The Villainess,2017,85,Jeong Byeong-gil,The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.,"Kim Ok-bin, Shin Ha-kyun, Sung-joon, Kim Seo-hyung"
Highlander,1986,69,Russell Mulcahy,"People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons.","Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown"
Die Hard 2,1990,69,Renny Harlin,"It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies.","Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson"
National Treasure,2004,47,Jon Turteltaub,"National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot.","Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean"
The Protector,2005,53,Prachya Pinkaew,"Despite some impressive fight scenes, this trimmed-down version of the Thai action pic is an off-putting mix of scant plot, choppy editing, and confusing subtitles and dubbing.","Tony Jaa, Johnny Nguyen, Nathan Jones, Phetthai Vongkumlao"
Revenge,2017,92,Coralie Fargeat,"Revenge slices and dices genre tropes, working within an exploitation framework while adding a timely -- yet never less than viscerally thrilling -- feminist spin.","Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède"
El Mariachi,1992,91,Robert Rodriguez,"Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable.","Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquardt"
A Touch of Zen,1971,97,King Hu,"A brilliantly directed feast for the eyes with an epic story to match, A Touch of Zen marks a groundbreaking achievement in the wuxia genre.","Feng Hsu, Chun Shih, Pai Ying, Roy Chiao"
Top Gun,1986,59,Tony Scott,"Though it features some of the most memorable and electrifying aerial footage shot with an expert eye for action, Top Gun offers too little for non-adolescent viewers to chew on when its characters aren't in the air.","Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer"
Con Air,1997,59,Simon West,"Con Air won't win any awards for believability - and all involved seem cheerfully aware of it, making some of this blockbuster action outing's biggest flaws fairly easy to forgive.","Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi"
The Expendables 2,2012,68,Simon West,"Taut, violent, and suitably self-deprecating, The Expendables 2 gives classic action fans everything they can reasonably expect from a star-studded shoot-'em-up -- for better and for worse.","Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren"
The Mummy,1999,63,Stephen Sommers,"It's difficult to make a persuasive argument for The Mummy as any kind of meaningful cinematic achievement, but it's undeniably fun to watch.","Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo"
Mr. & Mrs. Smith,2005,60,Doug Liman,"Although this action-romance suffers from weak writing and one too many explosions, the chemistry generated by onscreen couple Pitt and Jolie is palpable enough to make this a thoroughly enjoyable summer action flick.","Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody"
Rush Hour,1998,62,Brett Ratner,"While it won't win any awards for originality, the combustible chemistry between its stars means Rush Hour hits just as hard on either side of the action-comedy divide.","Jackie Chan, Chris Tucker, Tom Wilkinson, Elizabeth Peña"
The Equalizer,2014,61,Antoine Fuqua,"The Equalizer is more stylishly violent than meaningful, but with Antoine Fuqua behind the cameras and Denzel Washington dispensing justice, it delivers.","Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour"
Captain America: Civil War,2016,90,Anthony Russo,Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
Air Force One,1997,78,Wolfgang Petersen,"This late-period Harrison Ford actioner is full of palpable, if not entirely seamless, thrills.","Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson"
Bloodsport,1988,50,Newt Arnold,"This is where it all began for the Muscles from Brussels, but beyond Van Damme's athleticism, Bloodsport is a cliched, virtually plotless exercise in action movie recycling.","Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton"
Blade,1998,59,Stephen Norrington,"Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.","Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright"
Bad Boys,1995,46,Michael Bay,"Bad Boys stars Will Smith and Martin Lawrence have enjoyable chemistry; unfortunately, director Michael Bay too often drowns it out with set pieces and explosions in place of an actual story.","Martin Lawrence, Will Smith, Téa Leoni, Tchéky Karyo"
Die Hard With a Vengeance,1995,60,John McTiernan,"Die Hard with a Vengeance benefits from Bruce Willis and Samuel L. Jackson's barbed interplay, but clatters to a bombastic finish in a vain effort to cover for an overall lack of fresh ideas.","Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene"
The Running Man,1987,59,Paul Michael Glaser,"Combining slick production values and a strong cast with predictable thrills and a surprisingly muted Schwarzenegger, The Running Man  is an uneven albeit occasionally rousing sci-fi action satire.","Arnold Schwarzenegger, Maria Conchita Alonso, Richard Dawson, Yaphet Kotto"
Code of Silence,1985,68,Andrew Davis,No consensus yet.,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese"
