trackName,country,collectionPrice,trackPrice,collectionHdPrice,releaseDate,trackExplicitness,genres,contentAdvisoryRating,trackCount,isStreamable
The Beatles: In the Life,USA,7.99,7.99,9.99,2019-10-15,notExplicit,,NR,,False
Behind the Lyrics: The Beatles,USA,7.99,7.99,9.99,2022-11-29,notExplicit,,PG,,False
The Beatles: Parting Ways,USA,3.99,3.99,,2010-07-27,notExplicit,,NR,,False
The Beatles: A Celebration,USA,7.99,7.99,,1999-03-16,notExplicit,,NR,,False
The Beatles Explosion,USA,7.99,7.99,,2008-01-01,notExplicit,,NR,,False
"Going Underground: McCartney, The Beatles and the UK Counter-culture",USA,12.99,12.99,,2017-03-21,notExplicit,,NR,,False
The Beatles and India,USA,9.99,9.99,9.99,2022-05-24,notExplicit,,NR,,False
A Record Deal,USA,18.99,2.99,24.99,2021-03-08,notExplicit,,TV-PG,10,False
,USA,32.99,,,2013-10-29,,,,2,False
,USA,19.99,,,2005-11-01,,,,1,False
,USA,19.99,,,2010-03-18,,,,1,False
,USA,14.99,,,2021-01-05,,,,1,False
,USA,14.99,,,2019-10-29,,,,1,False
,USA,4.99,,,2023-11-14,,,,1,False
,USA,19.99,,,2017-04-25,,,,2,False
,USA,2.99,,,2018-10-30,,,,1,False
,USA,25.99,,,2013-07-30,,,,2,False
,USA,19.99,,,2024-04-09,,,,1,False
,USA,3.99,,,2025-05-06,,,,1,False
,USA,12.99,,,2024-08-22,,,,1,False
,USA,6.99,,,2021-12-01,,,,1,False
,USA,3.99,,,2025-07-22,,,,1,False
,USA,17.99,,,2018-11-06,,,,1,False
,USA,1.99,,,2024-11-08,,,,1,False
,USA,4.99,,,2023-06-06,,,,1,False
,USA,14.99,,,2019-12-14,,,,1,False
,USA,4.99,,,2019-06-25,,,,1,False
,USA,17.99,,,2012-03-11,,,,2,False
,USA,12.99,,,2022-08-26,,,,1,False
,USA,5.99,,,2016-03-25,,,,1,False
,USA,4.99,,,2007-09-27,,,,4,False
,USA,12.99,,,2024-11-21,,,,1,False
,USA,12.99,,,2024-09-17,,,,1,False
"Screw It, We're Just Gonna Talk About the Beatles",USA,0.0,0.0,0.0,2025-11-26,cleaned,"['Music', 'Podcasts', 'Arts', 'Performing Arts']",Clean,33,False
One Sweet Dream: A  Beatles Podcast,USA,0.0,0.0,0.0,2024-12-31,explicit,"['Music History', 'Podcasts', 'Music', 'Music Interviews']",Explicit,69,False
The Beatles Anthology Podcast,USA,0.0,0.0,0.0,2016-04-05,cleaned,"['Music', 'Podcasts']",Clean,3,False
Another Kind of Mind: A Different Kind of Beatles Podcast,USA,0.0,0.0,0.0,2025-11-13,explicit,"['Music', 'Podcasts']",Explicit,76,False
